,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Adora1,0.001559341,0.000686336,0.000178543,0.003280639,0.000717233,0.001484352,0.004213813,0.005839426,0.00136496,0.000734298,0.001209883,0.002519007,0.003579145,0.001454332,0.000455553
Prim2,0.012778262,0.01005345,0.012167294,0.010669672,0.00868738,0.008798426,0.02508631,0.017533718,0.019597555,0.033798214,0.028734399,0.034613971,0.01713408,0.016731576,0.018176351
Sntg1,2.58E-05,2.65E-05,2.41E-05,0.000334187,3.46E-05,0.000220917,0,3.22E-05,7.52E-06,3.15E-05,4.05E-05,5.03E-05,2.69E-05,3.51E-05,3.96E-05
Cflar,0.37310719,0.376888371,0.441365767,0.282723848,0.239957952,0.302250234,0.676830747,0.67358223,0.533523765,0.796599381,0.676744052,0.595554003,0.434632056,0.353251095,0.385246938
Adgrb3,5.64E-05,6.93E-05,0,0.000361556,2.98E-05,4.53E-05,1.86E-05,9.91E-06,1.85E-05,1.16E-05,1.92E-05,4.13E-05,0.000113349,7.77E-05,2.71E-05
Obsl1,0.001832535,0.000228895,0.002024511,0.005776849,0.000358798,0.002404454,0.003660358,0.007233428,0.001430682,0.004027082,0.003981188,0.006025504,0.006631403,0.001091302,0.004405909
Gpr39,0.000259488,0,6.57E-05,0.000144814,0.000164896,0,0,0,0,0,0,0,0.000109716,3.34E-05,0
1700112H15Rik,0.001396083,0,0,0.001591754,0.00010875,0.000128608,0.000118868,0.000505941,0.000591316,0.001385529,0,0.000210726,0.000241193,0.000330767,0.000414436
Pld5,0.000283464,0,0.000175559,0.000409869,0.000176312,0.000257567,0,0,6.77E-05,0.000132136,5.60E-05,0.000100483,0.000126512,1.05E-05,5.27E-05
Syt14,8.37E-05,0.000322372,0.000268357,0.00170939,0.000898358,0.00050464,0.000245486,0.000208974,2.44E-05,0.000204385,0.000202056,0.000587509,0.000249056,0.00013662,0.000171179
Lmx1a,1.69E-05,0,0,0.000983048,0.000142466,0.00069799,0,0.000236714,0,0,0.000109862,9.86E-05,6.77E-05,0.000165073,0.000310243
A830018L16Rik,5.50E-05,3.87E-05,0,0.000507466,9.82E-05,0.000396346,1.89E-05,0.000107532,1.26E-05,8.94E-05,4.68E-05,0.00014556,3.20E-05,9.37E-05,0.000102765
Cpa6,6.80E-06,0,0,3.61E-05,1.64E-05,4.86E-05,0,0,8.93E-06,0,0,6.37E-05,4.55E-05,1.67E-05,2.09E-05
Lactb2,0.12324693,0.09907701,0.120726466,0.08311407,0.076148165,0.080356584,0.165226824,0.148118799,0.140672139,0.125894986,0.108843845,0.095580454,0.107368009,0.127698544,0.118670686
Khdrbs2,0,0,6.65E-06,0.000156476,0,9.48E-05,2.92E-05,3.11E-05,0,0.000109449,5.41E-05,0,5.93E-05,9.48E-05,0
Lonrf2,0.000749161,0.000432783,0,0.001654937,0.000226133,0.002228542,0.001647816,0.000876706,0.001147603,0.000685965,0.000949406,0.001825758,0.000668711,0.000611372,0
1700066B17Rik,0,0.001903458,0,0.001164595,0,0.002352368,0,0,0,0.004344479,0.002147484,0,0.000882334,0,0.00101073
Actr1b,0.413794615,0.431805055,0.388470272,0.30911706,0.368040948,0.363921344,0.373129981,0.406996081,0.388115744,0.31536831,0.34723161,0.308946321,0.47347085,0.450026042,0.392933471
