,nik_s1,nik_s2,nik_s3,ctr_s1,ctr_s2,ctr_s3,nik_t3,ikk_t2,ikk_t3,ctr_t1,ctr_t2,ctr_t3,nik_t1,nik_t2
Adora1,0.012179308,0.027059279,0.0017989,0.002319251,0,0.008408298,0.003021319,0.000530228,0.000185734,0.002014078,0,0.000430091,0.008288018,0.008163542
Prim2,0.03227364,0.026490608,0.028520546,0.016135662,0.01717582,0.029763571,0.033967787,0.039807942,0.047219973,0.028683396,0.030589236,0.0349698,0.038839858,0.031896248
Sntg1,0.000901996,0.000797851,0.00010577,6.46E-05,0.000475701,0.000212748,5.83E-05,1.02E-05,2.87E-05,8.16E-05,4.20E-06,8.30E-06,0.000200804,0.000617135
Cflar,0.536429841,0.511164415,0.363353731,0.19911565,0.148319842,0.17835454,0.488522144,0.239496313,0.133292883,0.364123059,0.168640379,0.195663067,0.644627042,0.693185805
Adgrb3,0.000354604,0.001418814,0.000118009,0.000269313,0.001040031,0.000419071,8.97E-05,2.52E-05,5.29E-05,0.000110028,0.000103372,8.17E-05,0.00028384,0.000767686
Obsl1,0.034328982,0.026562175,0.018626616,0.009281704,0.002835556,0.012320029,0.012595207,0.007191172,0.00371657,0.007523033,0.004209217,0.006024326,0.024169561,0.026447719
Gpr39,0.000397434,0.000751228,0,0,0.00015638,0.00010141,0,6.50E-05,3.42E-05,0.000148176,0,0,0.000638111,0.000919275
Pld5,0.000999876,0.002244328,0.000138732,0.000357725,0.002335961,0.000207293,0.000218443,0,8.59E-05,0.000186393,1.26E-05,2.49E-05,0.00151619,0.001965827
Syt14,0.00442887,0.006266945,0.001201698,0.001646133,0.000319485,0.001933685,0.000331127,0.000243514,0.000209375,0.000454086,0.000299817,0.001239018,0.001786502,0.006510684
Lmx1a,0.001560778,0.003361093,0.000311136,0.000409492,0,0.000469366,0.000514399,0.000280855,0.000189735,0.000228606,0.000148197,0.000122043,0.001225131,0.001399351
A830018L16Rik,0.00050644,0.001365606,0.000110422,0.000199307,0,0.000266524,0.000486826,7.40E-05,0.000131681,8.44E-05,0.000119215,0,0.00062114,0.000708702
Cpa6,9.00E-05,0.000748396,0,9.44E-05,0,0.000303082,8.65E-05,0,1.70E-05,0,3.99E-05,9.85E-06,0.000370828,0.000228952
Lactb2,0.176021508,0.140821373,0.173850979,0.103545323,0.152619854,0.118551122,0.159834685,0.125957468,0.127125205,0.094253286,0.111679195,0.115176261,0.205526561,0.180730981
Efhc1,0.007073735,0.018856174,0.001819151,0.000713805,0.003140167,0.001909074,0.002266591,0.000734356,0.000600224,0.002138589,0.000401844,0.000397113,0.009076233,0.013075392
Khdrbs2,0.00017568,0.00051367,5.11E-05,2.88E-05,0,0.000174637,2.81E-05,2.63E-05,2.08E-05,0,4.87E-05,0,0.000244197,0.000310408
Lonrf2,0.016020445,0.019530963,0.00266478,0.002383251,0.007684575,0.006837576,0.000317525,0.000371495,0.001249264,0.000677342,0.00091478,0.000452004,0.007454388,0.018349565
Actr1b,0.600992918,0.546923846,0.70007196,0.752636569,0.590372353,0.821697045,0.6992973,0.67316425,0.692566692,0.614848549,0.702229185,0.657436211,0.625631784,0.66580074
Dnah7b,0.004288895,0.005392699,0.001334456,0.000577832,0.002257692,0.001480343,0.000512563,0.000490176,0.000471274,0.000463504,0.000500786,5.08E-05,0.002251958,0.003814407
Gpr45,0.00533996,0.007051252,0.000450697,0.000338955,0,0.000785664,0.000165585,0.000697427,0.000122152,0.001236288,0.00052475,0.000518571,0.003971874,0.004748006
Pgap1,0.035106416,0.038745206,0.026369351,0.039332609,0.06007036,0.033120266,0.026077046,0.031057194,0.026284496,0.046069055,0.030655565,0.034523888,0.043428229,0.051855308
Dnah7a,0.004293753,0.005967671,0.000670852,0.000542179,0.005441118,0.002932339,0.000551799,0.0001756,0.000445052,0.000976987,0.000330661,0.000276495,0.002771098,0.004167359
Plcl1,0.005104497,0.004935206,0.002760142,0.003240952,0.006141951,0.005057489,0.007909767,0.003371004,0.003108138,0.012853655,0.006491403,0.004604471,0.008574484,0.009264423
Pard3b,0.001141229,0.001142216,0.000312194,0.000344051,0.00027612,0.000452622,0.000252112,7.65E-05,0.000147445,0.00012355,0.000137413,0.000139675,0.001224083,0.000504984
Bmpr2,0.054016669,0.057243439,0.039973878,0.046971086,0.058981467,0.049645333,0.039032187,0.029281893,0.026845188,0.017220321,0.020752207,0.026165188,0.044790766,0.043881444
Spag16,0.000364292,0.000854181,0.000296994,6.75E-05,0.000308492,0.000394546,0.000266444,0.000146068,0.000142268,1.22E-05,0.000114046,6.50E-05,0.000505076,0.000671651
Abca12,0.006963143,0.009423467,0.001563128,0.001648515,0.0054391,0.002862207,0.00106937,0.000278029,0.000350609,0.00097161,0.000296671,0.000112761,0.005093783,0.005660897
Xrcc5,0.083216672,0.080788814,0.106596992,0.04925232,0.062081708,0.08422445,0.117647046,0.07816247,0.099465827,0.0633658,0.071163281,0.065521327,0.107087233,0.106140894
Usp37,0.134249081,0.134093825,0.159457981,0.122368172,0.139179507,0.147932876,0.164125065,0.157882558,0.176703866,0.134291535,0.144223932,0.195176451,0.161943311,0.168263368
Erbb4,0.00051568,0.001297306,0.000178745,0.000264521,0.000185998,0.00025515,1.91E-05,1.78E-05,3.44E-05,1.02E-05,2.20E-05,7.24E-06,0.000570847,0.000841064
D530049I02Rik,0.005140841,0.000871379,0,0,0.001692984,0.000313678,0.000644575,0.000402204,0.000211333,0.00034375,0,0,0.000438619,0.002464344
Dock10,0.327113028,0.355938087,0.297733935,0.322704942,0.285255559,0.306360647,0.372950938,0.34896111,0.355991575,0.382109037,0.3167905,0.362056304,0.398406236,0.419913667
Dis3l2,0.019266945,0.021193854,0.016095884,0.021461997,0.023003766,0.018549657,0.016723959,0.014405765,0.015701875,0.017132191,0.016200698,0.013693891,0.021806631,0.017612168
Sh3bp4,0.041675581,0.04880754,0.029458645,0.006062294,0.001091013,0.004598772,0.007511533,0.002192341,0.000993051,0.000387666,0.000791157,0.000827832,0.031740372,0.059360373
Ugt1a9,0.000287976,0.001684024,0,3.15E-05,0,0.000538856,0.000461372,0.000302283,0.000181521,0,0.000531678,0.000367792,0,0.000122118
Ugt1a10,0.002347539,0.000112987,0,0.000342172,0.0004704,0,8.36E-05,0.00068449,0.000986488,0.000936017,0.001805901,0.001094577,8.53E-05,0.000516177
Slc16a14,0.0126508,0.019917491,0.00137916,0,0.001052988,0.003755646,0.001169312,0,0.000805089,0,0.00013475,0,0.003341904,0.009903929
Pask,0.130935129,0.107043619,0.108653976,0.031987228,0.053434399,0.110424093,0.128227737,0.141127192,0.160125182,0.095064687,0.120302567,0.122475017,0.125656984,0.119562611
Serpinb12,0.01005714,0.014703017,0,0.007627296,0,0.00419011,0.000906341,0.000282771,0.000445736,0.001611164,0,0.000344052,0.000925118,0.010928487
Cdh20,0.001629727,0.002688035,0.000902012,0.000740045,0,0.000879668,0.000180763,0.000197388,7.41E-05,9.64E-05,3.47E-05,6.86E-05,0.001752822,0.000983479
Cdh7,0.002570492,0.004102219,0.000255647,0.000266212,0.002049459,0.000569589,0.000433498,0.00014201,0.000106596,0.000115592,0,0.000567726,0.001769916,0.001185645
Cntnap5a,0.000386157,0.000655431,0.000130589,0.000134396,0.000622499,0.000337322,0.000113633,7.09E-06,4.10E-05,6.06E-05,3.93E-05,3.45E-05,0.000417554,0.00071516
Dpp10,0.00021928,9.70E-05,1.02E-05,0.000125467,2.02E-05,0.000104761,2.24E-05,2.10E-06,4.19E-05,0,0,1.02E-05,0.000109866,0.000142447
Clasp1,0.09806373,0.098748485,0.095581505,0.061984324,0.061022808,0.079323087,0.118481968,0.099448876,0.111846531,0.065469007,0.080354215,0.089627848,0.113914509,0.113841069
Mapkapk2,0.611400669,0.530169355,0.546090872,0.50505961,0.521161379,0.42664047,0.952936257,0.851679662,0.757995531,0.795682077,0.74076058,0.681570999,0.920802654,0.987306924
Cdk18,0.010106514,0.016837832,0.00519818,0.001019841,0.017385093,0.001272864,0.011209725,0.001981828,0.000735054,0.000265694,0,0.000283685,0.009662103,0.013846147
Rab3gap1,0.23243698,0.230910088,0.236958473,0.271988632,0.272212021,0.264986774,0.251933252,0.225491766,0.211037467,0.217678094,0.203972034,0.23552822,0.288007326,0.245330379
Thsd7b,0.000864699,0.001641556,0.000327887,0.000601688,0.000943786,0.000522335,0.000252977,0.000226632,0.000188397,0.000246696,0.000141599,0.000209897,0.000796786,0.000720604
